book,code,description,category,trade,hours,parts_allowance,list_price,labor_value,active,notes
hvac,HI13D,Complete Electronic Pressure Control System Renovation · Calibrate refrigerant system to factory specs · Inline lubrication and treatment service · Resto,Services,hvac,8.75,0,1596.00,1596.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI13E,Complete Electronic Pressure Control System Renovation · Calibrate refrigerant system to factory specs · Inline lubrication and treatment service · Resto,Services,hvac,10.75,0,1995.00,1995.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI14A,Pressure Control System Reset and Calibration Service · Performance and safety testing · 30 day warranty,Services,hvac,6.75,0,1251.00,1251.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI14B,Basic Electronic Pressure Control System Renovation · Electrical termination service · Performance and safety testing · 6 month warranty,Services,hvac,8.5,0,1564.00,1564.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI14C,Main Electronic Pressure Control System Renovation · Calibrate refrigerant system to factory specs · Inline lubrication and treatment service · Electrica,Services,hvac,9.5,0,1752.00,1752.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI14D,Complete Electronic Pressure Control System Renovation · Calibrate refrigerant system to factory specs · Inline lubrication and treatment service · Resto,Services,hvac,10.75,0,2002.00,2002.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI14E,Complete Electronic Pressure Control System Renovation · Calibrate refrigerant system to factory specs · Inline lubrication and treatment service · Resto,Services,hvac,13.5,0,2502.00,2502.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI15A,Refrigerant Directional Control System Rejuvenation · Performance and safety testing · 30 day warranty,Services,hvac,11.25,0,2076.00,2076.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI15B,Basic Refrigerant Directional Control System Renovation · Recharge with new refrigerant · Performance and safety testing · 6 month warranty,Services,hvac,15.25,0,2802.00,2802.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI15C,Main Refrigerant Directional Control System Renovation · Install inline coolant moisture removal filters · Install refrigerant acid treatment · Flush and,Services,hvac,19.75,0,3633.00,3633.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI15D,Complete Refrigerant Directional Control System Renovation · Complete balance and recharge coolant system · Install inline dryers and flush system · Inst,Services,hvac,24.75,0,4567.00,4567.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
