Item Name,Description,Mfg Part #,Category,Rate,Item Type
HA1B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters \CRInstall compressor terminal kit\CRCoolant system recharge,,Services,2651,Non Inventory
HA1C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,3133,Non Inventory
HA1D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,3615,Non Inventory
HA1E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,3856,Non Inventory
HA20A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,7492,Non Inventory
HA20B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters - Install compressor terminal kit\CRCoolant system recharge,,Services,8241,Non Inventory
HA20C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,9739,Non Inventory
HA20D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,11237,Non Inventory
HA20E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,11986,Non Inventory
HA2A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,2857,Non Inventory
HA2B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters \CRInstall compressor terminal kit\CRCoolant system recharge,,Services,3142,Non Inventory
HA2C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,3713,Non Inventory
HA2D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,4285,Non Inventory
HA2E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,4570,Non Inventory
HA3A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,3344,Non Inventory
HA3B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters \CRInstall compressor terminal kit\CRCoolant system recharge,,Services,3678,Non Inventory
HA3C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,4347,Non Inventory
HA3D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,5016,Non Inventory
HA3E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,5350,Non Inventory
HA4A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,3832,Non Inventory
HA4B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters \CRInstall compressor terminal kit\CRCoolant system recharge,,Services,4215,Non Inventory
HA4C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,4981,Non Inventory
